"id","user_id","subscription_id","period_start","period_end","allocated_budget_eur","used_budget_usd","remaining_budget_eur","created_at","updated_at"
"dcf1da58-eb1f-42cc-bd0e-bcb6a7c9b0a5","abdf8f99-612c-43fe-9a95-a3e2572be89c","f5d7a746-e6f9-41f9-bbfd-70331a6b328d","2025-08-09 14:24:55","2025-09-08 14:24:55","0.0000","0.00000000","0.0000","2025-09-09 16:33:18.358677","2025-09-09 16:33:18.358677"
"f64845a9-1843-4e98-8c96-986433af8625","abdf8f99-612c-43fe-9a95-a3e2572be89c","f5d7a746-e6f9-41f9-bbfd-70331a6b328d","2025-08-09 14:24:55","2025-09-08 14:24:55","0.0000","0.00000000","0.0000","2025-09-09 16:33:49.393696","2025-09-09 16:33:49.393696"
"c2294d95-6821-4cf5-83de-8c91f981120e","abdf8f99-612c-43fe-9a95-a3e2572be89c","f5d7a746-e6f9-41f9-bbfd-70331a6b328d","2025-08-09 14:24:55","2025-09-08 14:24:55","0.0000","0.00000000","0.0000","2025-09-09 16:36:18.52992","2025-09-09 16:36:18.52992"
"feff3f12-f78e-461c-a6b7-141ee8dbe62d","abdf8f99-612c-43fe-9a95-a3e2572be89c","f5d7a746-e6f9-41f9-bbfd-70331a6b328d","2025-08-09 14:24:55","2025-09-08 14:24:55","0.0000","0.00000000","0.0000","2025-09-09 16:37:53.960592","2025-09-09 16:37:53.960592"
"b6f91187-6889-4e7c-b15a-7976ad6600ae","abdf8f99-612c-43fe-9a95-a3e2572be89c","f5d7a746-e6f9-41f9-bbfd-70331a6b328d","2025-08-09 14:24:55","2025-09-08 14:24:55","0.0000","0.00000000","0.0000","2025-09-09 16:38:34.665223","2025-09-09 16:38:34.665223"
"99262e7a-888c-4d6d-aca6-46addb2f718b","abdf8f99-612c-43fe-9a95-a3e2572be89c","f5d7a746-e6f9-41f9-bbfd-70331a6b328d","2025-08-09 14:24:55","2025-09-08 14:24:55","0.0000","0.00000000","0.0000","2025-09-09 16:39:09.485143","2025-09-09 16:39:09.485143"
"b0c0344a-e70a-4004-8b37-31c32b55f8fe","abdf8f99-612c-43fe-9a95-a3e2572be89c","f5d7a746-e6f9-41f9-bbfd-70331a6b328d","2025-08-09 14:24:55","2025-09-08 14:24:55","0.0000","0.00000000","0.0000","2025-09-09 16:40:29.057214","2025-09-09 16:40:29.057214"
"0d81272a-2968-40a6-899a-59c3b4e92046","abdf8f99-612c-43fe-9a95-a3e2572be89c","f5d7a746-e6f9-41f9-bbfd-70331a6b328d","2025-08-09 14:24:55","2025-09-08 14:24:55","0.0000","0.00000000","0.0000","2025-09-09 16:48:19.127307","2025-09-09 16:48:19.127307"
"66bbe627-cb87-4fab-940e-269f38e2cb1e","2adc46fc-80d3-4ea9-b522-b9e7f8ba1691","8f879a72-4755-4ae7-892f-3139a399ffc7","2025-08-08 23:12:57","2025-09-07 23:12:57","0.0000","0.00000000","0.0000","2025-09-09 22:12:51.000372","2025-09-09 22:12:51.000372"
"c5c922a2-415d-4bb2-aab2-e167353a925b","abdf8f99-612c-43fe-9a95-a3e2572be89c","f5d7a746-e6f9-41f9-bbfd-70331a6b328d","2025-08-09 14:24:55","2025-09-08 14:24:55","0.0000","0.00000000","0.0000","2025-09-10 02:48:01.039509","2025-09-10 02:48:01.039509"
