"id","user_id","subscription_id","input_tokens","output_tokens","total_tokens","input_cost_usd","output_cost_usd","total_cost_usd","chat_type","model_used","created_at"
"9d25e9b2-f510-4582-9323-8ae42591e5fc","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","1997","571","2568","0.00048799","0.00062810","0.00111609","dashboard","deepseek-chat","2025-09-09 21:09:31.407035"
"a2025417-b4f9-440a-b68e-6881a3181988","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","415","562","977","0.00011205","0.00061820","0.00073025","subject","deepseek-chat","2025-09-08 15:20:16.663157"
"a22fb152-889c-40f0-a53b-8645be45c5aa","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","813","468","1281","0.00006591","0.00051480","0.00058071","dashboard","deepseek-chat","2025-09-08 16:45:09.404911"
"a23ac0bb-4e99-400f-8997-220692f620a8","b4f9be4d-9c0f-44b1-8762-34c0ec73f445","479cfc30-f3ae-483a-8ca7-8e95b19fa7b1","294","83","377","0.00002818","0.00009130","0.00011948","dashboard","deepseek-chat","2025-09-05 22:36:14.507159"
"ab886a4e-390d-471d-94f7-55f44f53cf0d","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","1263","478","1741","0.00009781","0.00052580","0.00062361","dashboard","deepseek-chat","2025-09-09 21:26:08.227368"
"ab8f9fc6-37e0-4e83-a43e-9ab055a7af9a","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","877","416","1293","0.00007039","0.00045760","0.00052799","dashboard","deepseek-chat","2025-09-09 09:06:28.875122"
"af7fef4e-149f-490b-8c9d-a2f7fe7e8c45","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","1673","745","2418","0.00042611","0.00081950","0.00124561","subject","deepseek-chat","2025-09-09 21:46:51.524747"
"b3a39b44-d491-4f01-a120-f566177e150d","b067ddd6-5c65-47b0-9862-9b0d0176d962","bcfeb538-5a11-4edf-9699-625eddfcff10","1788","1035","2823","0.00043156","0.00113850","0.00157006","pdf","deepseek-chat","2025-09-08 02:18:40.763223"
"baae9efb-85db-436b-afd3-52c1474ef265","6a02a5ca-3348-4f21-9e62-4358ab30e15d","13ef87ee-e618-478d-b93e-7f332148074a","1945","524","2469","0.00044835","0.00057640","0.00102475","subject","deepseek-chat","2025-09-10 18:35:28.601755"
"c1dca0a8-ebbc-4ba1-9b5a-a4e8263c56c3","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","1235","442","1677","0.00009025","0.00048620","0.00057645","dashboard","deepseek-chat","2025-09-09 21:25:15.147209"
"c38beda1-7060-474d-ac4b-0c1715ae0106","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","1263","427","1690","0.00009781","0.00046970","0.00056751","dashboard","deepseek-chat","2025-09-09 21:25:34.147176"
"cc5536d8-8b3b-405b-9328-0016ccde1e34","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","877","380","1257","0.00007039","0.00041800","0.00048839","dashboard","deepseek-chat","2025-09-08 15:38:26.596518"
"cd9dea26-fd34-4855-9a1f-82b33f4f84bb","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","813","402","1215","0.00016831","0.00044220","0.00061051","dashboard","deepseek-chat","2025-09-08 15:35:31.381372"
"d0995e16-3949-4780-b11d-0a742c4182c6","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","877","383","1260","0.00007039","0.00042130","0.00049169","dashboard","deepseek-chat","2025-09-08 15:51:31.076823"
"d3d65f77-f499-4bf0-a1bc-842369eb3fe7","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","1235","350","1585","0.00023105","0.00038500","0.00061605","dashboard","deepseek-chat","2025-09-09 21:17:31.207788"
"d56cfad4-e3c1-4734-9261-67440d59b206","9e22c51b-9829-47f7-932c-ed4eb0dd1fd8","dd710c63-6f90-4a29-8aef-1d03bf893e55","650","972","1622","0.00014990","0.00106920","0.00121910","subject","deepseek-chat","2025-09-10 00:53:59.800661"
"db98133a-5a61-445f-819a-1ded032e41dd","b067ddd6-5c65-47b0-9862-9b0d0176d962","bcfeb538-5a11-4edf-9699-625eddfcff10","1713","800","2513","0.00012971","0.00088000","0.00100971","pdf","deepseek-chat","2025-09-08 02:17:40.646679"
"e1d1acfa-cf51-4b80-a978-c5294f90d7ba","6a02a5ca-3348-4f21-9e62-4358ab30e15d","13ef87ee-e618-478d-b93e-7f332148074a","2622","694","3316","0.00070794","0.00076340","0.00147134","dashboard","deepseek-chat","2025-09-09 08:34:00.200727"
"e525f74d-07fd-4a27-a209-149cffc128db","6a02a5ca-3348-4f21-9e62-4358ab30e15d","13ef87ee-e618-478d-b93e-7f332148074a","294","72","366","0.00002818","0.00007920","0.00010738","dashboard","deepseek-chat","2025-09-03 18:03:49.05082"
"e6a22c24-4910-4963-ad6b-0530afdce72c","41462356-e87f-4998-97b5-692e1e1d8c10","1f0f8891-e990-4eba-b950-81e97748d28f","1323","737","2060","0.00035721","0.00081070","0.00116791","pdf","deepseek-chat","2025-09-05 19:12:17.342197"
"eee772fd-8f53-463c-90bf-4f62500427dd","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","230","167","397","0.00002370","0.00018370","0.00020740","subject","deepseek-chat","2025-09-08 15:21:08.974896"
"f22cfdcd-d928-4a3e-95d4-075679335f90","b067ddd6-5c65-47b0-9862-9b0d0176d962","bcfeb538-5a11-4edf-9699-625eddfcff10","1940","1087","3027","0.00047260","0.00119570","0.00166830","pdf","deepseek-chat","2025-09-08 02:14:48.597489"
"f70bbda6-4ba9-410c-9386-e8476c0021c2","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","877","394","1271","0.00018559","0.00043340","0.00061899","dashboard","deepseek-chat","2025-09-08 15:36:32.242259"
"fd97bcb8-3151-4670-9780-621ca5768e4d","713b8894-f37f-4932-9234-b1b0ed7ffd37","e646a0b2-dabd-47d2-89aa-b40684e53816","1235","326","1561","0.00009025","0.00035860","0.00044885","dashboard","deepseek-chat","2025-09-09 21:29:10.505799"
